-84	-62	-64	-42	-70	3

-67	-57	-66	-43	-74	3

-67	-61	-57	-49	-74	3

-69	-64	-55	-44	-72	3

-68	-59	-53	-45	-73	3

-68	-60	-52	-48	-73	3

-69	-59	-51	-45	-73	3

-65	-61	-56	-43	-74	3

-67	-59	-60	-48	-74	3

-69	-60	-68	-46	-74	3

-68	-58	-58	-47	-76	3

-67	-59	-56	-51	-75	3

-66	-58	-59	-50	-76	3

-67	-59	-52	-51	-75	3

-64	-59	-59	-48	-70	3

-69	-58	-53	-49	-72	3

-67	-59	-49	-51	-71	3

-67	-57	-48	-49	-74	3

-64	-60	-59	-52	-72	3

-66	-54	-55	-47	-72	3

-66	-53	-51	-51	-72	3

-63	-61	-51	-49	-72	3

-69	-59	-54	-48	-72	3

-65	-60	-60	-51	-71	3

-70	-61	-61	-49	-72	3

-66	-60	-50	-50	-73	3

-68	-60	-51	-50	-71	3

-68	-65	-49	-50	-79	3

-67	-53	-47	-41	-63	3

-69	-64	-51	-21	-63	3

-70	-64	-51	-42	-67	3

-71	-63	-48	-42	-69	3

-68	-61	-49	-39	-64	3

-65	-55	-49	-38	-68	3

-69	-60	-48	-36	-69	3

-70	-61	-55	-40	-65	3

-69	-65	-50	-39	-62	3

-70	-55	-48	-38	-62	3

-69	-63	-48	-40	-64	3

-70	-65	-49	-39	-65	3

-71	-64	-49	-40	-66	3

-70	-65	-49	-40	-63	3

-71	-65	-49	-41	-68	3

-78	-61	-61	-43	-79	3
-84	-72	-58	-44	-79	3
-82	-70	-58	-43	-87	3
-82	-74	-58	-43	-87	3
-82	-74	-58	-44	-88	3
-86	-78	-56	-46	-85	3
-84	-69	-59	-43	-86	3
-88	-77	-57	-45	-87	3
-86	-77	-57	-42	-82	3
-85	-78	-57	-42	-87	3
-88	-76	-58	-42	-83	3
-88	-77	-57	-41	-82	3
-78	-76	-58	-42	-85	3
-72	-68	-48	-52	-84	3
-72	-68	-56	-50	-81	3
-72	-69	-55	-49	-80	3
-71	-64	-55	-51	-78	3
-76	-69	-51	-61	-73	3
-72	-68	-54	-68	-76	3
-75	-68	-54	-56	-79	3
-78	-72	-54	-56	-79	3
-72	-69	-56	-66	-79	3
-80	-67	-51	-61	-76	3
-74	-66	-49	-53	-78	3
-75	-66	-57	-62	-80	3
-82	-65	-58	-63	-80	3
-76	-66	-52	-59	-70	3
-77	-70	-58	-64	-85	3
-77	-69	-60	-53	-80	3
-80	-71	-66	-54	-84	3
-79	-69	-66	-53	-83	3
-76	-72	-62	-59	-70	3
-75	-67	-57	-60	-81	3
-78	-70	-61	-56	-77	3
-79	-69	-64	-54	-76	3
-78	-66	-68	-54	-75	3
-71	-65	-61	-52	-75	3
-84	-77	-64	-61	-77	3
-85	-78	-61	-53	-84	3
-85	-78	-61	-52	-82	3
-80	-79	-61	-56	-82	3
-80	-78	-56	-60	-79	3
-73	-65	-55	-64	-76	3
-73	-78	-62	-66	-85	3
-73	-71	-66	-60	-78	3
-88	-71	-69	-60	-84	3
-83	-71	-67	-61	-82	3
-83	-70	-63	-57	-80	3
-80	-64	-38	-51	-69	3
-83	-69	-46	-53	-73	3
-83	-64	-44	-53	-75	3
-82	-66	-46	-52	-74	3
-87	-65	-46	-53	-73	3
-83	-69	-51	-47	-72	3
-78	-66	-48	-46	-72	3
-86	-68	-61	-52	-75	3
-84	-70	-62	-52	-76	3
-82	-71	-64	-51	-74	3
-84	-71	-62	-52	-75	3
-85	-70	-64	-51	-76	3
-82	-63	-50	-50	-77	3
-82	-70	-56	-66	-87	3
-85	-67	-56	-73	-79	3
-83	-70	-57	-73	-79	3
-81	-67	-57	-65	-81	3
-85	-69	-56	-67	-79	3
-80	-69	-51	-64	-75	3
-85	-68	-49	-66	-71	3
-91	-66	-56	-62	-68	3
-86	-67	-56	-59	-76	3
-88	-69	-55	-60	-77	3
